,Column1,Column2
0,10 Sep 2022,79900
1,11 Sep 2022,79900
2,12 Sep 2022,79900
3,13 Sep 2022,79900
4,14 Sep 2022,79900
5,15 Sep 2022,79900
6,16 Sep 2022,79900
7,17 Sep 2022,79900
8,18 Sep 2022,79900
9,19 Sep 2022,79900
10,20 Sep 2022,79899
11,21 Sep 2022,79900
12,22 Sep 2022,79900
13,23 Sep 2022,79900
14,24 Sep 2022,79900
15,25 Sep 2022,79900
16,26 Sep 2022,79900
17,27 Sep 2022,79900
18,28 Sep 2022,79900
19,29 Sep 2022,79900
20,30 Sep 2022,79900
21,01 Oct 2022,79900
22,02 Oct 2022,79900
23,03 Oct 2022,79900
24,04 Oct 2022,79900
25,05 Oct 2022,79900
26,06 Oct 2022,79900
27,07 Oct 2022,79900
28,08 Oct 2022,79900
29,09 Oct 2022,79900
30,10 Oct 2022,79900
31,11 Oct 2022,79900
32,12 Oct 2022,79900
33,13 Oct 2022,79900
34,14 Oct 2022,79900
35,15 Oct 2022,79900
36,16 Oct 2022,79900
37,17 Oct 2022,79900
38,18 Oct 2022,79900
39,19 Oct 2022,79900
40,20 Oct 2022,79900
41,21 Oct 2022,79900
42,22 Oct 2022,79900
43,23 Oct 2022,79899
44,24 Oct 2022,79899
45,25 Oct 2022,79900
46,26 Oct 2022,79900
47,27 Oct 2022,79900
48,28 Oct 2022,79900
49,29 Oct 2022,79900
50,30 Oct 2022,79900
51,31 Oct 2022,79900
52,01 Nov 2022,79900
53,02 Nov 2022,79900
54,03 Nov 2022,79900
55,04 Nov 2022,79900
56,05 Nov 2022,79900
57,06 Nov 2022,79900
58,07 Nov 2022,79900
59,08 Nov 2022,79900
60,09 Nov 2022,79900
61,10 Nov 2022,79900
62,11 Nov 2022,79900
63,12 Nov 2022,79900
64,13 Nov 2022,79900
65,14 Nov 2022,79900
66,15 Nov 2022,79900
67,16 Nov 2022,79900
68,17 Nov 2022,79900
69,18 Nov 2022,79900
70,19 Nov 2022,79900
71,20 Nov 2022,79900
72,21 Nov 2022,78400
73,22 Nov 2022,78400
74,23 Nov 2022,78400
75,24 Nov 2022,77400
